Activity Date,Activity Type,Elapsed Time,Distance,Elapsed Time,Moving Time,Distance,Elevation Gain,Elevation Low,Elevation High
"Nov 13, 2016, 11:53:15 AM",Run,3433,11.57,3433,3426,11569.7002,52.72330093,2.200000048,35.79999924
"Nov 15, 2016, 11:19:41 AM",Run,1553,5.75,1553,1539,5752,24.27000046,2.700000048,27.29999924
"Nov 18, 2016, 11:52:19 AM",Run,4083,14.31,4083,4080,14310.40039,40.8932991,-4.599999905,27.29999924
"Nov 20, 2016, 11:50:00 AM",Run,2223,8.2,2223,2223,8207.650391,30.47999954,,
"Nov 22, 2016, 12:18:46 PM",Run,1363,5.11,1363,1302,5118.600098,16.63999939,3.200000048,20
"Nov 24, 2016, 3:23:50 PM",Run,4655,16.44,4655,4637,16448.90039,38.77999878,-2.299999952,27
"Dec 15, 2016, 2:11:13 PM",Run,1707,5.9,1707,1707,5902.200195,26.86000061,2.799999952,17.89999962
"Dec 17, 2016, 6:24:10 PM",Run,2489,8.28,2489,2462,8282.299805,38.68289948,2.799999952,28
"Dec 19, 2016, 12:11:02 PM",Run,1942,6.8,1942,1920,6807.299805,25.45809937,3,20
"Jan 1, 2017, 11:01:57 AM",Run,1453,4.97,1453,1426,4977.600098,48.37670135,22,41
"Jan 4, 2017, 9:35:17 AM",Run,3318,11.19,3318,3290,11195.2002,38.72000122,2,28
"Jan 6, 2017, 8:31:49 AM",Run,2199,7.48,2199,2156,7485.799805,24.30330086,1.299999952,19.29999924
"Jan 17, 2017, 5:55:18 PM",Run,1751,5.9,1751,1720,5900,26.10000038,2.799999952,18
"Jan 19, 2017, 11:09:38 AM",Run,2295,8.09,2295,2286,8091.200195,38.41999817,2.799999952,28
"Jan 21, 2017, 5:31:03 PM",Run,1590,5.74,1590,1576,5747.100098,24.18000031,3,28
"Jan 23, 2017, 8:34:55 PM",Run,1587,5.83,1587,1580,5836.5,24.84000015,2.799999952,28
"Jan 27, 2017, 5:00:29 PM",Run,3377,11.61,3377,3358,11609,56.79999924,2.799999952,35
"Jan 29, 2017, 8:51:55 PM",Run,1572,5.72,1572,1566,5722.100098,24.86000061,2.799999952,28
"Jan 31, 2017, 1:34:39 PM",Run,1542,5.79,1542,1505,5791.299805,24.78000069,2.799999952,28
"Feb 8, 2017, 8:38:21 PM",Run,4482,15.82,4482,4467,15825.59961,51.2867012,-4.400000095,28
"Feb 10, 2017, 3:48:31 PM",Run,2308,8.27,2308,2300,8278.099609,36.90000153,2.799999952,28
"Feb 14, 2017, 5:11:57 PM",Run,1190,4.08,1190,1088,4083.199951,12.92000008,2.799999952,17.89999962
"Feb 16, 2017, 4:25:19 PM",Run,3731,12.52,3731,3591,12528.7002,109.2770004,-2.5,50
"Feb 17, 2017, 3:14:25 PM",Run,1561,5.74,1561,1519,5742.200195,23.63999939,3.5,28
"Mar 20, 2017, 10:20:24 PM",Run,1646,5.77,1646,1601,5775.399902,24.81999969,2.799999952,28
"Mar 22, 2017, 8:38:35 PM",Run,2359,8.21,2359,2341,8209.099609,36.77999878,3,28
"Mar 23, 2017, 9:08:18 PM",Run,1645,4.96,1645,1633,4960.5,31.31999969,7.199999809,28.70000076
"Mar 24, 2017, 2:45:18 PM",Run,1589,5.56,1589,1546,5562.100098,25.12000084,2,28.89999962
"Mar 27, 2017, 7:46:14 PM",Run,1578,5.71,1578,1574,5716.100098,23.54000092,4,28
"Mar 28, 2017, 4:38:08 PM",Run,1554,5.75,1554,1512,5758.200195,24.78000069,2.799999952,28
"Mar 30, 2017, 7:07:30 PM",Run,3312,11.24,3312,3131,11242.09961,38.81999969,2.799999952,28
"Mar 31, 2017, 4:04:07 PM",Run,1538,5.77,1538,1516,5772.299805,36.5,2.799999952,28
"Apr 3, 2017, 1:48:54 PM",Run,1871,6.68,1871,1860,6687.899902,24.70000076,2.799999952,28
"Apr 4, 2017, 9:27:57 PM",Run,1530,5.7,1530,1530,5704.100098,25.02000046,2.799999952,28
"Apr 5, 2017, 7:39:38 PM",Run,4597,16.15,4597,4555,16149.09961,57.62810135,-4.900000095,35
"Apr 6, 2017, 8:25:21 PM",Run,979,3.48,979,979,3487.699951,10.64000034,3,17.70000076
"Apr 8, 2017, 5:10:31 PM",Run,2371,8.2,2371,2260,8201.200195,38.06000137,3,28
"Apr 12, 2017, 8:15:58 PM",Run,1782,6.67,1782,1742,6672.299805,24.87999916,2.799999952,17.79999924
"Apr 13, 2017, 6:24:13 PM",Run,6273,21.45,6273,6028,21454.30078,126.5540009,-2.299999952,50
"Apr 14, 2017, 3:00:49 PM",Run,1631,5.75,1631,1580,5752.600098,26.94000053,2.799999952,28
"Apr 15, 2017, 9:26:17 PM",Run,3330,11.28,3330,2834,11284.59961,27.79999924,-1.399999976,28
"Apr 18, 2017, 5:46:41 PM",Run,2337,8.65,2337,2329,8649.599609,53.20330048,2.799999952,35
"Apr 19, 2017, 7:45:56 PM",Run,3164,11.32,3164,3124,11326.5,24.73999977,2.799999952,28
"Apr 24, 2017, 7:41:45 PM",Run,1641,5.9,1641,1624,5900.5,24.95999908,2.799999952,28
"Apr 29, 2017, 4:59:17 PM",Run,2799,8.35,2799,2268,8355.799805,37.91999817,2.799999952,28
"May 2, 2017, 8:56:09 PM",Run,2956,10.01,2956,2816,10010,25.66670036,2.799999952,18.39999962
"May 4, 2017, 8:40:25 AM",Ride,9926,56.99,9926,9189,56995.69922,273.5400085,-4.300000191,50
"May 5, 2017, 1:47:25 PM",Ride,6559,40.64,6559,6143,40647.19922,197.7089996,-4.400000095,64.90000153
"May 9, 2017, 1:36:00 PM",Ride,9993,57.33,9993,8953,57338.89844,316.6600037,3,222.1999969
"May 12, 2017, 9:25:20 AM",Run,3005,9.66,3005,2977,9667.599609,29.84000015,2.799999952,19.10000038
"May 25, 2017, 1:13:27 PM",Ride,18935,86.27,18935,13743,86273.10156,324.7799988,-4.900000095,50
"May 26, 2017, 9:16:39 PM",Run,1246,4.17,1246,1240,4178.100098,26.92670059,3,20
"May 27, 2017, 4:50:43 PM",Run,1679,5.74,1679,1679,5739,42.77999878,4,28
"May 29, 2017, 5:48:47 PM",Run,2505,8.42,2505,2460,8423.599609,70.74520111,2.799999952,28
"May 30, 2017, 7:48:52 PM",Run,1729,5.71,1729,1724,5718.100098,46.57500076,3,28
"Jun 1, 2017, 9:12:19 AM",Ride,18119,100.85,18119,15819,100852,492.3269958,-4.900000095,64.90000153
"Jun 2, 2017, 8:44:47 AM",Run,2392,8.18,2392,2326,8180.5,55.59999847,2.799999952,28
"Jun 3, 2017, 4:00:00 PM",Run,1200,4.02,1200,1200,4023.360107,0,,
"Jun 6, 2017, 7:54:50 PM",Run,3925,11.6,3925,3397,11599.2998,91.09079742,2.799999952,28
"Jun 8, 2017, 7:33:19 PM",Run,2317,8.12,2317,2311,8126.100098,51.70000076,2.799999952,32.90000153
"Jun 10, 2017, 4:51:55 PM",Run,4769,16.31,4769,4742,16312.2998,120.9349976,-3.299999952,34
"Jun 16, 2017, 7:49:41 PM",Run,1417,4.92,1417,1408,4925.700195,28.3743,5,34
